〔市町村別内訳〕第11表　課税標準額段階別令和６年度分所得割額等に関する調（合計）（所得割納税義務者数・課税対象所得・課税標準額・所得割額）,,,,,,,,,,,,,,,
年度,団体コード,都道府県名,団体名,表側,所得割の納税義務者数,総所得金額等,分離長期譲渡所得金額に係る所得金額,分離短期譲渡所得金額に係る所得金額,一般株式等に係る譲渡所得金額,上場株式等に係る譲渡所得金額,上場株式等に係る配当所得金額,先物取引に係る雑所得金額,課税対象所得,課税標準額,所得割額（税額控除・減免後）
,,,,,,（ア）,（イ）,（ウ）,（エ）,（オ）,（カ）,（キ）,（ア～キの計）,,
,,,,,人,千円,千円,千円,千円,千円,千円,千円,千円,千円,千円
2024,103454,群馬県,吉岡町,市町村民税,"10,494 ","35,019,127 ","747,807 ","26,394 ","20,933 ","35,709 ","5,081 ","6,023 ","35,861,074 ","22,427,101 ","1,102,448 "
2024,103454,群馬県,吉岡町,道府県民税,"10,491 ","35,017,080 ","747,807 ","26,394 ","20,933 ","35,708 ","5,081 ","6,023 ","35,859,026 ","22,426,720 ","734,690 "
2024,103667,群馬県,上野村,市町村民税,411 ,"1,028,668 ","13,330 ",0 ,0 ,246 ,46 ,0 ,"1,042,290 ","584,417 ","29,435 "
2024,103667,群馬県,上野村,道府県民税,411 ,"1,027,921 ","13,330 ",0 ,0 ,246 ,46 ,0 ,"1,041,543 ","584,290 ","19,616 "
2024,103675,群馬県,神流町,市町村民税,475 ,"1,273,243 ","3,418 ",0 ,0 ,"1,719 ",434 ,0 ,"1,278,814 ","725,676 ","37,313 "
2024,103675,群馬県,神流町,道府県民税,474 ,"1,272,686 ","3,418 ",0 ,0 ,"1,719 ",434 ,0 ,"1,278,257 ","725,549 ","24,848 "
2024,103829,群馬県,下仁田町,市町村民税,"2,449 ","6,863,707 ","81,636 ",0 ,"2,945 ","2,995 ",920 ,72 ,"6,952,275 ","4,078,525 ","208,771 "
2024,103829,群馬県,下仁田町,道府県民税,"2,447 ","6,861,414 ","81,636 ",0 ,"2,945 ","2,995 ",920 ,72 ,"6,949,982 ","4,078,106 ","139,125 "
2024,103837,群馬県,南牧村,市町村民税,466 ,"1,139,332 ","10,358 ",0 ,"42,750 ","4,145 ","2,489 ",0 ,"1,199,074 ","683,121 ","33,506 "
2024,103837,群馬県,南牧村,道府県民税,466 ,"1,139,332 ","10,358 ",0 ,"42,750 ","4,145 ","2,489 ",0 ,"1,199,074 ","683,121 ","22,328 "
2024,103845,群馬県,甘楽町,市町村民税,"5,312 ","16,118,997 ","283,271 ",11 ,"11,426 ","11,054 ","1,315 ","9,386 ","16,435,460 ","9,932,516 ","497,449 "
2024,103845,群馬県,甘楽町,道府県民税,"5,311 ","16,117,605 ","283,271 ",11 ,"11,426 ","11,054 ","1,315 ","9,386 ","16,434,068 ","9,932,239 ","331,518 "
